term,tier,au_vol_mo,cpc_aud,competition,source,notes
options trading tax australia,Tier2,90,7.00,med,"estimate — analyst judgment, corroborated by live ATO Community threads ('US Options Trading and doing my taxes', 'Where to report options trading losses on tax return') plus TradersCircle/Emerald Financial/Tiger Brokers articles found","Core problem-intent term; multiple independent ATO Community threads confirm genuine, recurring user confusion (undated thread-open, still active in current forum index)."
how are options taxed in australia,Tier2,70,5.50,med,"estimate — analyst judgment, corroborated by dedicated articles (auslegalhub.com 'Understanding Options Taxation in Australia', TradersCircle)","Broad-question phrasing, PAA-style; answers found are generic/informational, none tool- or broker-specific — SEO opportunity."
us options tax australia,Tier2,20,6.00,low-med,"estimate — analyst judgment","No term-specific content found; folded conceptually into 'options trading tax australia' searches."
capital gains tax on options ato,Tier2,40,5.50,med,"estimate — analyst judgment","Overlaps with ATO's own 'Rights and options' and CGT-event pages, which already rank well — organic difficulty likely higher than raw volume suggests."
writing options tax ato,Tier2,10,4.50,low,"estimate — analyst judgment","Options-writer/seller specific phrasing — small volume but high buyer-fit (matches the wheel-strategy/covered-call ICP named in the brief)."
covered call tax australia,Tier2,30,5.00,low-med,"estimate — analyst judgment","No AU-specific covered-call tax guide found in the sweep — content gap."
sold put tax australia,Tier2,unknown,unknown,low,"no direct signal found in WebSearch sweep","Cannot estimate reliably — this exact phrasing looks uncommon; real demand likely folds into 'covered call'/'wheel strategy' variants instead."
option premium tax treatment,Tier2,20,4.00,low,"estimate — analyst judgment","Generic phrasing without an AU qualifier — some share of this volume is likely US-context searchers, discount accordingly."
ato share trader vs investor,Tier2,90,6.00,med,"estimate — analyst judgment; ATO's TR 97/11 investor-vs-trader test is a well-documented, frequently cross-referenced topic across the accounting-content ecosystem","Directly maps to the revenue-vs-CGT thesis risk flagged in brief.md as the venture's biggest framing risk — high strategic value as a content/positioning term regardless of raw niche size."
us shares australian tax return,Tier2,140,7.50,med-high,"estimate — analyst judgment, corroborated by multiple dedicated articles (Expat Taxes Australia, Swingfolio, Dad Investor, Claimyr — all found live)","Highest-volume Tier2 term. Broader than options specifically, but same buyer persona (AU holder of US brokerage assets) — feeds directly into the widen-the-wedge fallback case below."
wheel strategy tax australia,Tier2,10,3.50,low,"estimate — analyst judgment","Very specific strategy+geography combo; low volume but precise ICP match."
is options trading taxable in australia,Tier2-mined,20,4.00,low,"mined via autocomplete/PAA pattern off 'options trading tax australia' / 'how are options taxed in australia' SERPs","Weak-answer SEO win: only ATO Community forum threads and generic blog answers currently rank — no authoritative, AU-specific, tool-branded content exists yet."
day trading tax australia,Tier2-mined,320,6.50,high,"estimate — analyst judgment; broader adjacent term with an established content ecosystem (multiple broker/accountant guides)","FLAGGED AMBIGUOUS/ADJACENT: covers all active trading (mostly equities), not options-specific — down-weighted to 25% of face value in the weighted-cluster total. Large raw volume but diluted buyer-intent overlap with the derivatives niche."
ato trader or investor test,Tier2-mined,40,5.00,low-med,"mined via 'ato share trader vs investor' autocomplete family; estimate — analyst judgment","Directly tied to the revenue-vs-CGT thesis risk; same strategic value note as 'ato share trader vs investor' above."
how are assigned puts taxed ato,Tier3,unknown,unknown,low,"no direct signal found in WebSearch sweep","Cannot estimate — too niche for any surfaced proxy. Qualitative demand is plausible (assignment handling is a named functional product gap per brief.md) but there is no search-volume evidence for it either way."
tax on expired options australia,Tier3,10,4.00,low,"estimate — analyst judgment","No dedicated content found."
exercised option cost base ato,Tier3,unknown,unknown,low,"no direct signal found in WebSearch sweep","Cannot estimate."
cgt event d2,Tier3,90,3.00,med,"estimate — analyst judgment, corroborated by dedicated content (bristax.com.au runs a full CGT-articles microsite covering D2/C2/C3 individually; ATO's own Appendix 1 summary page; Rigby Cooke Lawyers article; JMA Legal article)","Surprisingly high volume for a technical statute-reference term — the mechanics of granting/expiring options as a CGT event are genuinely confusing and frequently explained by 3rd parties. Strong SEO/content-hub target regardless of the niche's overall size."
how to declare us options australian tax return,Tier3,10,5.50,low,"estimate — analyst judgment","No dedicated content found; long-tail, high-intent, near-zero competition."
ato exchange rate us shares,Tier3,30,4.00,low-med,"estimate — analyst judgment","FX-at-trade-date is named in brief.md as a core product differentiator — worth tracking even at modest standalone volume."
ibkr flex query tax,Tier3,10,3.00,low,"estimate — analyst judgment","Direct product-mechanism term (the data-pipeline source itself); low volume but high build-relevance, not purely a marketing signal."
currency conversion capital gains ato,Tier3,20,4.50,low,"estimate — analyst judgment","Adjacent to the FX-at-trade-date differentiator above; likely searched by the same buyer at a different point in their journey."
options assignment tax australia,Tier3-mined,10,4.50,low,"mined via autocomplete/PAA pattern off 'writing options tax ato' / 'how are assigned puts taxed ato' family","Assignment handling is named in brief.md as a core functional gap in incumbents — low volume, precise fit."
multi-leg option strategy tax ato,Tier3-mined,unknown,unknown,low,"no direct signal found in WebSearch sweep","Cannot estimate — but multi-leg handling is the single most-cited functional gap in brief.md (Sharesight/Navexa/TaxTank/eSTM all fail here per prior G0 research). Absent search volume likely reflects immature market awareness/vocabulary, not absent pain — do not read a zero here as a demand signal either way."
us shares tax australia,Widen,110,7.00,med,"estimate — analyst judgment","Core widen-the-wedge term; broad 'AU holder of US brokerage assets' framing, same buyer as the options niche but far larger population."
ibkr dividends tax,Widen,20,4.00,low,"estimate — analyst judgment","No dedicated content found targeting this exact phrase."
w8ben australia,Widen,320,3.50,med,"estimate — analyst judgment, corroborated by dedicated content (IBKR's own Traders' Academy 'Form W-8BEN' page, Claimyr guide, multiple broker onboarding guides found live)","Highest raw-volume term in the entire sweep (tied with 'day trading tax australia'). W8BEN is a near-universal onboarding step for any AU investor holding US assets on any broker — reach is far broader than the derivatives niche, supporting the fallback-widen thesis."
us dividends withholding tax australia,Widen,90,6.00,med,"estimate — analyst judgment","No AU-specific dedicated calculator/tool found; mostly explainer content from expat-tax and broker-education sites."
foreign tax credit australia us shares,Widen,40,5.50,low-med,"estimate — analyst judgment","Adjacent step in the same buyer's tax-return workflow as withholding-tax queries above."
w8ben form australia ibkr,Widen,20,3.00,low,"estimate — analyst judgment","Narrower brand+form-combo variant of the 'w8ben australia' row above."
